Channel Name,Video Address,Title,Views,Face in Thumbnail?,Word Count in Thumbnail,Views Ranking Within Channel,Brightness Ranking Within Channel,Saturation Ranking Within Channel,Genre,Brightness,Saturation,Date
Dude Perfect,LDKDyn_D9pQ,Cup Trick Shots | Dude Perfect,17300000,Fear,0,3,4,9,Sports,28.99,38.86,2/19/2022
Dude Perfect,ItMpKIxXwlw,Hockey Trick Shots,18000000,Happy,5,4,2,1,Sports,27.65,15.18,12/30/2019
Dude Perfect,j7ZXF7jbXbY,Helicopter Battleship Battle | Dude Perfect,20400000,No,0,5,8,7,Sports,39.92,34.4,9/9/2019
Dude Perfect,rzi_iXUTuXY,Top 5 Vehicles Bucket List,20500000,No,2,6,10,10,Sports,43.97,44.01,9/13/2021
Dude Perfect,GsLopdvhFpk,Unpredictable Trick Shots 2,30500000,No,0,7,3,2,Sports,28.95,20.04,3/19/2022
Dude Perfect,0ADQauuOJto,Impossible Ping Pong Trick Shots,33700000,Sad,0,8,5,8,Sports,32.83,37.02,8/3/2020
Dude Perfect,luR70V5gdS0,All Sports Golf Battle 4,44000000,No,0,9,7,6,Sports,39.12,29.99,6/10/2020
Dude Perfect,aDrVrz76z1A,Camping Strerotypes,63400000,Suprise,0,10,1,3,Sports,27.48,20.82,9/23/2019
Jesser,uTzaeH2APEs,I Tested 100 Viral Internet Gadgets,3300000,Angry,0,1,10,10,Sports,50.56,47.92,8/28/2023
Jesser,0mOwh1PN_TE,100 Impossible Trickshots in 24 Hours,3300001,Happy,5,2,9,3,Sports,48.43,29.8,8/11/2023
Jesser,FwX8e2tSrTs,I took 100 Shots vs the NBA's Best Defender and Made__,3400000,Happy,0,3,4,9,Sports,41.34,42.72,8/18/2023
Jesser,k4zMUSXvaY0,5 Adults vs 50 Kids Basketball,3700000,No,0,4,3,4,Sports,34.54,34.57,7/1/2023
Jesser,H9A7NziBN1A,Breaking 24 Football World Records in 24 Hours!,3700001,No,0,5,5,8,Sports,44.47,40.03,9/8/2023
Jesser,G05D3D57je8,"Beat the grandpa at basketball, win $500",4100000,Happy,5,6,8,1,Sports,47.33,23.1,7/8/2023
Jesser,6K_ECacjL6I,I Spent 100 Hours with NBA Players,4500000,Happy,0,7,2,5,Sports,31.18,35.21,7/26/2023
Jesser,uRAyoRVVIZA,I Hosted the World's greatest dunk contest,4900000,No,0,8,1,6,Sports,18.54,36.57,6/22/2023
Jesser,PioWQArH34Y,I Hosted a 1v1 Basketball Tournament for $10000 *Heated*,5300000,Happy,0,9,7,7,Sports,46.76,39.16,7/17/2023
Jesser,sDEUU-3_rec,Guess the Secret NBA Player,5500000,No,3,10,6,2,Sports,45.14,27.27,8/5/2023
Gordon Ramsey,alPw_KUxQWE,Gordon Ramsay Upgrades Your Burger | Next Level Kitchen,374600,Happy,0,1,3,10,Cooking,29.8,44.47,3/9/2023
Gordon Ramsey,7wQpHTnji68,Gordon Ramsay Makes a Frito Pie Trackside in Texas | Scrambled,1000000,Neutral,0,2,8,4,Cooking,38.46,29.96,5/21/2020
Gordon Ramsey,0d4x418_rGk,Dessert Recipes To Impress | Gordon Ramsay,1600000,No,0,3,5,9,Cooking,35.16,40.32,7/2/2020
Gordon Ramsey,arrznB5iEPU,Gordon Ramsay's Cinnamon Eggy Bread with Quick Stewed Apples,2400000,No,0,4,7,8,Cooking,37.72,35.2,1/27/2019
Gordon Ramsey,bBVozxyU9ME,Gordon Ramsay Surprised By French Chef's Final Dishes | Ramsay's Best Restaurant,2750000,No,7,5,10,5,Cooking,54.43,30.61,9/29/2019
Gordon Ramsey,zbWpclMMA2w,Michelin Starred Restaurant Takes On A Family Run Restaurant | Gordon Ramsay's Best Restaurant,4700000,No,0,6,9,2,Cooking,48.61,24.95,9/6/2019
Gordon Ramsey,Kdiu4O-liKU,Gordon Ramsay Judges Steaks Cooked By NBA Legends Shawn Marion & Caron Butler! | Raising the Steaks,6000000,Fear,0,7,2,1,Cooking,26.35,21.55,1/15/2019
Gordon Ramsey,N_T5r73i1xg,MOST MEMORABLE MOMENTS On Gordon Ramsay's Hotel Hell,7000000,Fear,0,8,1,3,Cooking,20.71,26.63,12/31/2018
Gordon Ramsey,BHcyuzXRqLs,50 Cooking Tips With Gordon Ramsay | Part One,13700000,No,4,9,4,7,Cooking,29.99,32.96,4/1/2021
Gordon Ramsey,x5nEb-7UKZI,Indian Resteraunt Food Stuns Gordon Ramsay | Ramsay's Best Restaurant,33400000,Sad,0,10,6,6,Cooking,36.47,32.21,8/30/2019
Food Network,KYt4FaRZV_g,Urvashi Pitre's Air-Fryer Burgers | Food Network,8600,Happy,0,1,5,1,Cooking,40.26,29.95,7/19/2023
Food Network,jlVHN6ARaNY,Anne Burrell's Eggs Benedict with Poached Eggs | Secrets of a Restaurant Chef | Food Network,19100,Happy,3,2,4,2,Cooking,36.88,33.18,9/1/2023
Food Network,FycFKjK5upQ,Bobby Flay's Top Egg Recipe Videos | Food Network,27000,Happy,0,3,10,7,Cooking,44.55,38.43,10/23/2023
Food Network,qT4vUgLv6PQ,How Termini Brothers' Cannoli Are Made | Unwrapped 2.0 | Food Network,30600,No,0,4,8,3,Cooking,43.39,33.19,8/11/2023
Food Network,QTSB_AMP3ZA,"Chopped: Heart Ravioli, Snapper, Eggplant, Cocktail | Full Episode Recap | S54 E8 | Food Network",40000,Neutral,0,5,3,6,Cooking,33.59,36.28,10/16/2023
Food Network,A2npGJIEPjQ,Behind the Scenes at 3 Nostalgic Candy Factories (from Unwrapped) | Food Network,58700,No,0,6,1,9,Cooking,27.91,45.02,11/10/2023
Food Network,jkCyoYM,Ree Drummond's Epic Dip Platter | The Pioneer Woman | Food Network,78000,Happy,0,7,7,5,Cooking,41.5,34.46,11/9/2023
Food Network,0sl3eMAXspE,How to Poach Eggs For Beginners | Food Network,4500000,No,0,8,2,10,Cooking,31.22,45.69,1/31/2017
Food Network,vgztywP339U,Hedgehog Cake | Food Network,9600000,No,0,9,6,8,Cooking,41.31,42.9,10/29/2017
Food Network,Fb4Wi3KFoJM,Most-SHOCKING Moments | Worst Cooks in America | Food Network,14000000,Sad,0,10,9,4,Cooking,44.02,33.56,5/17/2020
Drew Binskey,pOlP5gxFE80,7-ELEVEN is CRAZY in JAPAN,269000,No,4,1,5,5,Travel,32.17,34.88,6/16/2020
Drew Binskey,i1NqXCmTI60,USA vs CANADA (Similarities & Differences),837400,Neutral,0,2,1,10,Travel,27.57,46.53,4/9/2020
Drew Binskey,yuAZ7NxRSTo,I Met a Real Cannibal in India,1000000,Fear,0,3,6,2,Travel,32.17,26.59,2/17/2024
Drew Binskey,WB-lj1hFKxo,The Shocking Life of Africa’s Extreme Tribes (Ethiopia),1800000,Neutral,0,4,10,3,Travel,40.6,29.26,9/1/2023
Drew Binskey,7WKEZPF489U,Inside Nauru - World's Least Visited Country,2300000,Happy,0,5,8,9,Travel,35.25,40.05,2/10/2019
Drew Binskey,ugwDTDwb6Vc,What Can $10 Get in INDIA? (Very Cheap Country!),3100000,Happy,0,6,2,8,Travel,29.54,37.94,1/10/2019
Drew Binskey,q3T1CIjmOX4,WORLD'S FASTEST RESTAURANT (10 Seconds to Eat!),3400000,Neutral,0,7,3,6,Travel,30.37,35.64,8/12/2020
Drew Binskey,JOKwwcFVNDw,My 5 LEAST Favorite Countries (After Visiting Them All),4000000,Fear,0,8,4,4,Travel,31.03,31.93,4/23/2022
Drew Binskey,A7vcLYIxJvk,She Escaped North Korea to Live in South Korea,4200000,Neutral,0,9,7,1,Travel,33.2,25.47,4/26/2019
Drew Binskey,n3cNBQ05q7M,What Can $10 Get in NORTH KOREA? (Bizarre Place),4700000,Suprise,0,10,9,7,Travel,36.49,36.58,8/25/2021
Yes Theory,WZpPIR5jiCk,"Jumping the World's Most Dangerous First Skydive
",846000,No,0,1,9,10,Travel,43.03,41.45,5/21/2023
Yes Theory,cd9or9hVpAw,a new chapter (Matt Leaving Yes Theory),1200000,Happy,0,2,5,2,Travel,38.13,23.7,10/30/2023
Yes Theory,kwsWAQ9sJZE,Proof Of Aliens On Earth // 72 hrs With UFO Whistleblower David Grusch Under Oath in Congress,1300000,Sad,0,3,7,8,Travel,40.88,37.2,10/1/2023
Yes Theory,hR24suBLmtY,"I Paid $88 to Get Locked in a Korean Prison
",1400000,Neutral,0,4,2,5,Travel,34.04,28.8,9/17/2023
